SMILES,Name,Cluster,Center
Cc1c(O)c2c(c(C=O)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC[C@@H](Cc1ccc3c(c1)OCO3)C2=O,CHEMBL1093535,0,No
O=C(Oc1cccc(OC(=O)c2ccccc2O)c1OC(=O)c1ccccc1O)c1ccccc1O,CHEMBL1094008,0,No
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@H](Cc1ccccc1)[C@H](O)C(=O)Nc1cccc(-c2noc(=O)[nH]2)c1,CHEMBL1094659,3,No
CC(C)C[C@H](NC(=O)[C@H](NC(=O)[C@@H](N)CNC(=O)c1cc(O)ccc1O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)Nc1cccc(-c2nsc(=O)[nH]2)c1,CHEMBL1094662,3,No
CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@H](O[C@@H]2O[C@H](CN)[C@@H](O)[C@H]2O)[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)cc1,CHEMBL1095315,3,No
CCCCCCCCCCCC(=O)N[C@H](C(=O)O)[C@H](O[C@H]1O[C@@H](CN)[C@@H](O)[C@H]1O)[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@H]1O,CHEMBL1095317,2,No
CCO[C@@]12C[C@H]3[C@@H](C[C@@H](O)[C@]4(Cl)CC=CC(=O)[C@]34C)[C@@H]3CC[C@@](O)([C@H](C)[C@@H]([C@@H]4O[C@H](O)[C@@]5(C)O[C@@]45C)O1)[C@]32C,CHEMBL1095958,2,No
O=c1c(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL1096690,1,No
O=c1c(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL1097317,1,No
CC1(C)O[C@@H]2C[C@@H]3[C@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CHEMBL109809,2,No
CC(=O)Oc1c(-c2ccc(O)c(O)c2)c(O)c(O)c2c1oc1cc(O)c(O)cc12,CHEMBL1098561,1,No
O=c1c(O[C@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL1098724,1,No
COc1ccc(CCc2cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1O,CHEMBL111185,0,No
COc1cc(/C=C/c2cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)ccc1O,CHEMBL113339,0,No
CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)CSC[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1cnc(C)nc1N,CHEMBL113593,3,No
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL115,3,No
COC(=O)c1cccc(C(=O)c2cc(Cl)cc(C(=O)c3ccccc3O)c2O)c1O,CHEMBL115578,0,No
O=C(O)c1cccc(C(=O)c2cc(Cl)cc(C(=O)c3ccccc3O)c2O)c1O,CHEMBL115909,0,No
C[C@H]1O[C@@H](O[C@H]2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@@H]1O,CHEMBL1159406,0,No
CC1(C)Oc2ccc3ccc(=O)oc3c2[C@@H](O)[C@H]1C[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1159449,0,No
O=C1O[C@H]2[C@H](O)[C@@H](OC(=O)c3cc(O)c(O)c4c3[C@@H]3C1=CC(=O)C(O)(O)[C@]3(O)O4)[C@@H](OC(=O)c1cc(O)c(O)c(O)c1)O[C@@H]2CO,CHEMBL1159461,0,No
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O[C@H]3O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)cc(O)c12,CHEMBL1159471,1,No
O=C(CCc1ccc(O)cc1)C[C@H](CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O,CHEMBL1159485,0,No
C=C1C=C(c2ccc(O)cc2)Oc2cc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]3O)cc(O)c21,CHEMBL1159510,0,No
O=C(CC[S@+]([O-])CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(CO)(CO)CO[C@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O,CHEMBL1159563,2,No
O=C(CCc1ccc2occc2c1)c1c(O)cccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1159618,0,No
O=C(CCc1ccc2occc2c1)c1c(O)c(Cl)cc(Cl)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1159620,0,No
C=CCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(C(=O)CCc2ccc3occc3c2)c1O,CHEMBL1159621,0,No
Cc1ccc(O)c(C(=O)CCc2ccc3occc3c2)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1159622,0,No
CC(=O)O[C@H]1[C@H](Oc2cc(C)cc(O)c2C(=O)CCc2ccc3occc3c2)O[C@H](CO)[C@@H](O)[C@@H]1O,CHEMBL1159625,0,No
C=C(COC)OC[C@H]1O[C@@H](Oc2cc(C)cc(O)c2C(=O)CCc2ccc3occc3c2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL1159626,0,No
CC(=O)OC[C@H]1O[C@@H](Oc2cc(C)cc(O)c2C(=O)CCc2ccc3occc3c2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL1159628,0,No
C[C@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@@H]1Oc1c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,CHEMBL1159644,1,No
O=c1cc(-c2ccccc2)oc2cc(O[C@]3(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c12,CHEMBL1159647,1,No
O=c1c(O[C@]2(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL1159648,1,No
Cc1c(O)cccc1C(=O)N[C@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@@H]2C[C@H]1C(=O)NC(C)(C)C,CHEMBL1159655,3,No
NCC[C@@H]1[C@@H](CO)O[C@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@@H](CN)[C@@H](O)[C@@H](O)[C@@H]2N)[C@@H]1O,CHEMBL1159782,2,No
Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1ccccc1,CHEMBL1161427,3,No
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccc(F)cc2O)[C@@H](O)[C@H]1O,CHEMBL1162035,1,No
Cc1ccc(C(=O)NS(=O)(=O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)c(O)c1,CHEMBL1162037,1,No
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2cccc(O)c2O)[C@@H](O)[C@H]1O,CHEMBL1162041,1,No
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)[C@@H](N)Cc2ccccc2)[C@@H](O)[C@H]1O,CHEMBL1162053,3,No
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)[C@@H]2CSCN2)[C@@H](O)[C@H]1O,CHEMBL1162341,1,No
Nc1ncnc2c1ncn2[C@H]1O[C@H](COS(=O)(=O)NC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)[C@@H](O)[C@@H]1O,CHEMBL1163060,3,No
CC[C@H](C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CHEMBL1163069,1,No
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)[C@@H]2CCCN2)[C@@H](O)[C@H]1O,CHEMBL1163086,3,No
CCc1ccc(Cc2cc([C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(COCCCO)cc2Cl)cc1,CHEMBL1163753,0,No
COc1cc(/C=C\c2ccc(OC)c(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c2O)cc(OC)c1OC,CHEMBL1163840,0,No
Cc1c(C)c2c(c(Cc3noc(CCc4ccc(O)c(O)c4)n3)c1O)CCC(C)(C)O2,CHEMBL1165069,0,No
Cc1c(C)c2c(c(-c3cn(Cc4ccc(O)c(O)c4)nn3)c1O)CCC(C)(C)O2,CHEMBL1165331,3,No
CC(C)(C)NC(=O)[C@H]1C[C@@H](Oc2ccc3ccccc3c2)CN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@H]1O,CHEMBL116677,3,No
CCCCN[C@H](CC)C/N=C1\C[C@H](c2cccc(C(F)(F)F)c2)Cc2c1c(=O)c1cc(Cl)ccc1n2O,CHEMBL116679,3,No
Cc1ccc(O)c(C)c1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1C[C@@H](Cl)C[C@@H]1C(=O)NC(C)(C)C,CHEMBL116723,3,No
C[C@H]1O[C@H](O[C@H]2CC[C@@]3(C=O)[C@H]4C[C@@H](O)[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@@H]1O,CHEMBL1169681,2,No
CN[C@H]1[C@H](O)[C@@H](O[C@H]2[C@@H](N)C[C@@H](N)[C@@H](O[C@H]3O[C@H]([C@H](C)N)CC[C@@H]3N)[C@H]2O)OC[C@]1(C)O,CHEMBL117044,2,No
C[C@@H]1CC[C@H]2C(C)(C)[C@@H](O)CC[C@]2(C)[C@@]12Cc1c(O)cc3c(c1O2)COC3=O,CHEMBL1170697,0,No
Cc1cc(O)c2c(c1)C(=O)c1cc(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc(O)c1C2=O,CHEMBL1172006,0,No
O=C(/C=C/c1ccc(O)cc1)C1=C(O)[C@](O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,CHEMBL1172243,2,No
CNC(=O)c1cccc(C(=O)c2cc(Cl)cc(C(=O)c3ccccc3O)c2O)c1O,CHEMBL117284,0,No
C=CCNCC/N=C1\C[C@H](c2cccc(C(F)(F)F)c2)Cc2c1c(=O)c1cc(Cl)ccc1n2O,CHEMBL117310,3,No
NCCC[C@@H](N)C(=O)N[C@H](CCc1ccccc1)[C@@H](O)c1nc2ccccc2[nH]1,CHEMBL1181285,3,No
NCCC[C@@H](N)C(=O)N[C@H](CCc1ccccc1)[C@@H](O)c1nc2ccccc2o1,CHEMBL1181339,3,No
NC[C@H]1O[C@@H](O[C@H](CNCCc2ccc(Oc3ccccc3)cc2)[C@H]2C[C@@H](O)[C@H](n3ccc(=O)[nH]c3=O)O2)[C@H](O)[C@@H]1O,CHEMBL1183046,2,No
NC[C@H]1O[C@@H](O[C@@H](CNCCc2c[nH]c3ccccc23)[C@@H]2C[C@@H](O)[C@H](n3ccc(=O)[nH]c3=O)O2)[C@H](O)[C@@H]1O,CHEMBL1183076,3,No
NC[C@H]1O[C@@H](O[C@@H](CNCc2ccc(C(=O)O)cc2)[C@@H]2C[C@@H](O)[C@H](n3ccc(=O)[nH]c3=O)O2)[C@H](O)[C@@H]1O,CHEMBL1183081,2,No
NC[C@H]1O[C@@H](O[C@@H](CNCCCN2CCCC2=O)[C@@H]2C[C@@H](O)[C@H](n3ccc(=O)[nH]c3=O)O2)[C@H](O)[C@@H]1O,CHEMBL1183108,2,No
NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)NNc1cccc2c1C(=O)c1ccccc1C2=O,CHEMBL1192115,3,No
CC(C)C[C@H](NC(=O)[C@H](O)[C@H]1OC(=O)C[C@H]1N)[C@@H]1Cc2cccc(O)c2C(=O)O1,CHEMBL1196329,3,No
OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,CHEMBL1197952,1,No
Cc1ccccc1-c1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1,CHEMBL1198604,1,No
Nc1nc(-c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,CHEMBL1198605,1,No
