SMILES,Name,Cluster,Center
CCNC(=O)[C@H]1[C@H](c2cc(O)c(O)c(O)c2)c2cc3c(cc2[C@H](O)[C@H]1CO)OCO3,101060360,3,No
CO[C@]1(C)C[C@H]([C@@H](C)[C@@]2(O)CC[C@H]3[C@@H]4CC=C5CC=CC(=O)[C@]5(C)[C@H]4CC[C@@]32C)O[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@]1(C)O,101095333,0,No
O=C(O[C@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H](O[C@H]2O[C@H](CO)[C@@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@@H]2OC(=O)c2ccccc2)[C@@H]1OC(=O)c1ccccc1)c1ccccc1,101100136,0,No
O=C(O)CC[C@@H](NC(=O)[C@@H]1CC(=O)OC[C@H]2O[C@@H](C(=O)N[C@H](CO)C(=O)N1)[C@@H](O)[C@H](O)[C@@H]2O)C(=O)O,101120878,0,No
COc1cccc2c1C(=O)c1c(O)c3c(c([O-])c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](NC(=O)OCc2ccc(NC(=O)O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2)[C@H](O)[C@H](C)O1,101136586,4,No
CC(=O)N[C@@H]1[C@H](Oc2ccc([N+](=O)[O-])cc2)O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO[C@]3(C(=O)O)C[C@H](O)[C@H](NC(C)=O)[C@@H]([C@H](O)[C@H](O)CO)O3)[C@@H](O)[C@H](O)[C@@H]2O)[C@H]1O,101136805,4,No
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(OC)C[C@@H](C)/C(=N/Cc2ccc(C)cc2)[C@H](C)[C@@H](O)[C@]1(C)O,101139448,0,No
CC(=O)NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](NC(=O)[C@@H](O)CCN)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](NC(C)=O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,101140129,0,No
CSC(=O)OCC1=C[C@H](O)[C@@H]2C(C(=O)O[C@@H]3[C@@H](O)[C@H](O[C@@H]4OC=C5C(=O)OC6=C5[C@H]4C(COC(=O)SC)=C6)O[C@H](CO)[C@H]3O)=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12,101154919,0,No
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,101155180,0,No
O=C1[C@@H](O)[C@H](CO[C@H]2CCCCc3ccc(cc3)Oc3cc(ccc3O)CC2)O[C@H](CO[C@H]2OC[C@@](O)(CO)[C@H]2O)[C@@H]1O,101158011,0,No
COc1cc(-c2cc(=O)c3c(O)cc(O)c([C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3o2)ccc1O,101158984,1,No
O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(OC(=O)c4cc(O)c(O)c(O)c4)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,101185475,4,No
OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,101194539,0,No
O=C1CC([C@@H]2Oc3cc(O)cc(O)c3C[C@@H]2O)=Cc2c([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)cc(O)c(O)c2C1=O,10120485,4,No
C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)O/C=C\[C@@](C)(O)C(=O)[C@@H](C)C/C=C/[C@H]3[C@H]1O,101206229,2,No
O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1c1c(OS(=O)(=O)O)cc(O)c2c(=O)cc(-c3ccc(O)c(O)c3)oc12,101206707,1,No
C[C@H]1c2cc(c(O)c(CSCCS(=O)(=O)O)c2O)[C@H](C)c2cc(c(O)c(CSCCS(=O)(=O)O)c2O)[C@@H](C)c2cc(c(O)c(CSCCS(=O)(=O)O)c2O)[C@H](C)c2cc1c(O)c(CSCCS(=O)(=O)O)c2O,101224708,3,No
C=C(CCC=C(C)C)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@H]3CC[C@]12C,10123241,0,No
COc1cc([C@H]2O[C@H](c3cc(OC)c(O)c(OC)c3)[C@@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H]2CO)cc(OC)c1O,101236905,4,No
Cc1cc(O)c2c(c1)C[C@@H](O)C1=C2C(=O)c2c(O)ccc(O[C@H]3C[C@@H](O)[C@@H](O[C@@H]4C[C@H](O[C@H]5CC[C@@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)[C@@H](C)O3)c2C1=O,101245666,4,No
COc1cc(-c2[o+]c3cc(O)cc4c3c(c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C[C@H](c2ccc(O)c(O)c2)O4)cc(OC)c1O,101248522,1,No
CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@H](O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,101257389,0,No
CO[C@@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(N5CCC[C@@H]5[C@@H](C)O)c4c3C2=O)NC(=O)/C(C)=C\C=C/[C@@](C)(O)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@H]1C,101316782,2,No
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@H]3CC[C@@]4(C)C(=CC[C@@H]5[C@H]4CC[C@]4(C)[C@@H]6[C@H](C[C@@]54O)O[C@@](O)(CC[C@@H](C)CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]6C)C3)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,101340552,0,No
CC(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](O)CO[C@@H](O[C@H]3C[C@@H]4[C@@H]5CCC6=CC(=O)CC[C@]6(C)[C@H]5CC[C@]4(C)[C@H]3[C@H](C)[C@@H](O)CC[C@H](C)CO)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,101361932,0,No
COC(=O)[C@]12OC[C@@]34[C@H]1[C@@H](OC(=O)C=C(C)C)C(=O)O[C@@H]3C[C@H]1[C@H](C)[C@H](O)C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=C[C@]1(C)[C@H]4[C@@H](O)[C@H]2O,101366764,0,No
CC1=C(O)C(=O)C[C@@H](O[C@@H]2CC(C)(C)C[C@H]3C4=CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7O[C@H](C(=O)O)[C@H](O)[C@H](O)[C@H]7O[C@@H]7OC[C@H](O)[C@H](O)[C@H]7O[C@@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)[C@](C)(CO)[C@H]6CC[C@@]5(C)[C@]4(C)CC[C@]32C)O1,101374302,0,No
O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3OC[C@@H](O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,101384608,0,No
COc1ccc(-c2cc(=O)c3c(O)cc(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3o2)cc1O,101387091,1,No
