Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
136649559;CN1CCC(n2cc3cc4[nH]c(-c5c(NC[C@@H](O)COc6ccccc6OC(F)(F)F)cc[nH]c5=O)nc4cc3c2O)CC1;2;No;CN1CCC(CC1)n1cc2cc3c(cc2c1O)nc(c1c(cc[nH]c1=O)NC[C@H](COc1ccccc1OC(F)(F)F)O)[nH]3;0.040365841;1;-11;10
137255781;CCCCCCCCCCCCCC(=O)O[C@@H]1[C@H]2O[P@](O)(=S)OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@@H](O)[C@H]3O[P@](=O)(S)OC[C@H]2O[C@H]1n1cnc2c(=O)[nH]c(N)nc21;2;No;CCCCCCCCCCCCCC(=O)O[C@H]1[C@@H](O[C@H]2[C@@H]1O[P@](=S)(OC[C@@H]1[C@@H]([C@@H]([C@@H](O1)n1cnc3c1nc([nH]c3=O)N)O)O[P@@](=O)(OC2)S)O)n1cnc2c1nc([nH]c2=O)N;0.034176931;1;-11;16
11966833;Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[C@@H]2[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]2n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O;2;No;c1nc2c(c(n1)N)ncn2[C@H]1[C@@H]([C@@H]([C@@H](CO[P@](=O)(O)O[C@@H]2[C@@H]([C@@H](COP(=O)(O)O)O[C@H]2n2cnc3c2ncnc3N)O)O1)O)O;0.037471876;1;-10.9;10
25016561;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)[C@H](Cc2ccc(F)cc2)NC(C)=O)[C@H](C)[C@@H](O)[C@]1(C)O;2;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@@]([C@H]([C@H](C)O1)O)(C)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=O)[C@H](Cc1ccc(cc1)F)NC(=O)C)O)(C)O;0.041524664;1;-10.9;15
44273491;CCNN1C(=O)c2c(c3c4cccc(O)c4n([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4c(O)cccc4c23)C1=O;2;No;n1([C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)c2c3[nH]c4c(c3c3C(=O)N(NCC)C(=O)c3c2c2c1c(ccc2)O)cccc4O;0.019480484;1;-10.9;7
44273598;N#CCCNN1C(=O)c2c(c3c4cccc(O)c4n([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4c(O)cccc4c23)C1=O;2;No;n1([C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)c2c3[nH]c4c(c3c3C(=O)N(NCCC#N)C(=O)c3c2c2c1c(ccc2)O)cccc4O;0.024932472;1;-10.9;8
44463966;Nc1ncnc2c1ncn2[C@@H]1O[C@H](Cn2cc(CO[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)nn2)[C@@H](O)[C@H]1O;2;No;c1c(CO[C@H]2[C@@H]([C@H]([C@H]([C@@H](CO)O2)O)O)O)nnn1C[C@@H]1[C@H]([C@H]([C@H](n2cnc3c2ncnc3N)O1)O)O;0.035337839;1;-10.9;7
57547531;CC(C)CNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)cc(C3(S(O)(O)c4ccncc4)CC3)n2)cc1;2;No;C[C@H]1COCCN1c1cc(C2(CC2)S(c2ccncc2)(O)O)nc(c2ccc(cc2)NC(=O)NCC(C)C)n1;0.041804265;1;-10.9;8
68280890;CNCC(=O)N[C@@H]1CCC[C@H]2SC[C@H](c3c(-c4[nH]c5ccccc5c4C[C@H]4CS[C@@H]5CCC[C@H](NC(=O)[C@H](C)NC)C(=O)N45)[nH]c4ccccc34)N2C1=O;2;No;C[C@@H](C(=O)N[C@H]1CCC[C@@H]2N(C1=O)[C@H](CS2)Cc1c(c2c(c3ccccc3[nH]2)[C@H]2CS[C@@H]3CCC[C@H](C(=O)N23)NC(=O)CNC)[nH]c2ccccc12)NC;0.033754919;1;-10.9;10
76966408;NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O[P@@](=O)([O-])O)c1;2;No;c1cc(c[n+](c1)[C@H]1[C@@H]([C@@H]([C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@@H]2[C@H]([C@H]([C@H](n3cnc4c3ncnc4N)O2)O)O)O1)O)O[P@](=O)(O)[O-])C(=O)N;0.046221867;1;-10.9;13
91250165;CCn1c(O)c2c(c1O)[C@]1(CO[C@@H]3O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]3O)C=C(CO[C@@H]3O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]3O)[C@H]2O1;2;No;CCn1c(c2[C@H]3C(=C[C@](c2c1O)(CO[C@H]1[C@H]([C@H]([C@H]([C@H](CO)O1)O)O)O)O3)CO[C@H]1[C@H]([C@H]([C@H]([C@H](CO)O1)O)O)O)O;0.028528417;1;-10.9;9
91445605;[N-]=[N+]=NC1=C(S(=O)(=O)Oc2cccc(O)c2C(=O)c2ccc(O)c(O)c2O)c2c(N=[N+]=[N-])cccc2C(=O)C1=O;2;No;c1cc2c(c(c1)N=[N+]=[N-])C(=C(C(=O)C2=O)N=[N+]=[N-])S(=O)(=O)Oc1cccc(c1C(=O)c1c(c(c(cc1)O)O)O)O;0.028748447;1;-10.9;7
121421057;Cc1ccc2c(/N=C3\N=C(Nc4c(OCCO)nn5c(C)c(C)ccc45)C(=N)C=C3N)c(OCCO)nn2c1C;2;No;Cc1c(C)n2c(c(c(n2)OCCO)NC2=N/C(=N\c3c4ccc(c(C)n4nc3OCCO)C)/C(=CC2=N)N)cc1;0.047526788;1;-10.9;10
131838951;Cn1c2c(O)cccc2c(=O)c2c(O)c([C@H]3C[C@](C)(COS(=O)(=O)O)Oc4cc(O)c5c(=O)c6cccc(O)c6n(C)c5c43)c3c(c21)C=CC(C)(C)O3;2;No;CC1(C=Cc2c(c(c(c3c2n(c2c(c3=O)cccc2O)C)O)[C@H]2C[C@](C)(COS(=O)(=O)O)Oc3cc(c4c(c23)n(c2c(c4=O)cccc2O)C)O)O1)C;0.042540602;1;-10.9;4
132200386;Cc1cc2c(c(O[C@@H]3C[C@@H](n4ccc5c(C)ccnc54)[C@H](O)[C@@H]3O)n1)CNCC2;2;No;Cc1c2ccn(c2ncc1)[C@@H]1C[C@H]([C@H]([C@H]1O)O)Oc1c2CNCCc2cc(C)n1;0.040034212;1;-10.9;3
136169369;CC1=NNC(=O)[C@@H]1NNc1ccc2c(O)c(/N=N/c3cc(OCCO)c(/N=N/c4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(O)c45)cc3OCCO)c(S(=O)(=O)O)cc2c1;2;No;CC1=NNC(=O)[C@@H]1NNc1cc2cc(c(c(c2cc1)O)/N=N/c1c(cc(c(c1)OCCO)/N=N/c1c2c(cc(cc2c(cc1)S(=O)(=O)O)S(=O)(=O)O)O)OCCO)S(=O)(=O)O;0.044447899;1;-10.9;18
136215642;CNC(=O)c1n[nH]c2cc(-c3cc(F)c(O)cc3CC(F)(F)F)nc(NCc3ccccc3N(C)S(=O)(=O)NCCO)c12;2;No;CNC(=O)c1c2c(cc(c3cc(c(cc3CC(F)(F)F)O)F)nc2NCc2ccccc2N(C)S(=O)(=O)NCCO)[nH]n1;0.045350734;1;-10.9;12
136443896;C=[S@@](O)c1ccc(N2N=C(C(=O)O)[C@@H](/N=N\c3ccc4c(O)c(/N=N/c5cc(OCCO)c(/N=N/c6ccc7ccccc7c6S(=O)(=O)O)cc5OCCO)c(S(=O)(=O)O)cc4c3)C2=O)cc1;2;No;C=[S@](c1ccc(cc1)N1C(=O)[C@@H](C(=N1)C(=O)O)/N=N\c1cc2cc(c(c(c2cc1)O)/N=N/c1c(cc(c(c1)OCCO)/N=N/c1c(c2ccccc2cc1)S(=O)(=O)O)OCCO)S(=O)(=O)O)O;0.039269846;1;-10.9;20
136601167;CN1CCC(n2cc3cc4[nH]c(-c5c(NC[C@@H](O)COc6c(F)ccc(Cl)c6F)cc[nH]c5=O)nc4cc3c2O)CC1;2;No;CN1CCC(CC1)n1cc2cc3c(cc2c1O)nc(c1c(cc[nH]c1=O)NC[C@H](COc1c(ccc(c1F)Cl)F)O)[nH]3;0.046968311;1;-10.9;8
137293330;Nc1nc2c(ncn2[C@@H]2C[C@H](F)[C@@H](CO[P@](O)(=S)O[C@H]3C[C@@H](n4cnc5c(N)ncnc54)O[C@]3(CO)COP(O)(O)=S)O2)c(=O)[nH]1;2;No;C1[C@@H]([C@@](CO)(COP(=S)(O)O)O[C@@H]1n1cnc2c1ncnc2N)O[P@](=S)(O)OC[C@@H]1[C@H](C[C@H](O1)n1cnc2c1nc([nH]c2=O)N)F;0.038520228;1;-10.9;11
137488326;CS[C@H]1O[C@H]([C@H](NC(=O)[C@@H]2CC[C@H](CCCc3ccc(C(F)(F)F)cc3)CCN2)[C@H](C)Cl)[C@H](O)[C@@H](O)[C@@H]1O;2;No;C[C@@H]([C@H]([C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)SC)O)O)O)NC(=O)[C@@H]1CC[C@@H](CCN1)CCCc1ccc(cc1)C(F)(F)F)Cl;0.036133885;1;-10.9;10
59667968;CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CCc3cn(C[C@H](O)COc4ccc([N+](=O)[O-])cc4)nn3)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;2;No;CC[C@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@@]([C@H]([C@H](C)O1)O)(C)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)CCc1cn(C[C@@H](COc2ccc(cc2)[N+](=O)[O-])O)nn1)O)(C)O)C)C)O)(C)O;0.038831238;1;-10.8;16
69862631;N[C@@H](Cc1ccc(O)c(N2C=Nc3c(ncn3[C@@H]3O[C@@](CO)(P(=O)(O)O)[C@@H](O)[C@H]3O)[C@@H]2N)c1)C(=O)O;2;No;c1cc(c(cc1C[C@@H](C(=O)O)N)N1C=Nc2c([C@@H]1N)ncn2[C@H]1[C@@H]([C@@H]([C@@](CO)(O1)P(=O)(O)O)O)O)O;0.033023916;1;-10.8;7
70306710;CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(-c2cc(F)c(F)cc2CNCC(C)(C)C)cn1;2;No;CCC[C@@H](C(=O)Nc1cn(cn1)c1cc(c(cc1CNCC(C)(C)C)F)F)N[C@H]1CCc2cc(cc(c2C1)F)F;0.031889271;1;-10.8;11
70311209;COCCCN1C(=O)C(C)(C)Oc2ccc(N(C(=O)[C@@H]3CNC[C@@H](C(=O)NC4(c5ccccc5)CCNCC4)C3)C3CC3)cc21;2;No;CC1(C(=O)N(c2c(ccc(c2)N(C2CC2)C(=O)[C@H]2C[C@@H](CNC2)C(=O)NC2(CCNCC2)c2ccccc2)O1)CCCOC)C;0.040591266;1;-10.8;10
71156868;CC(=O)O[C@@H](C)C(=O)N[C@@H]1C(=O)N2NCCC[C@H]2C(=O)N(O)CC(=O)N2NCCC[C@@H]2C(=O)N2CC[C@@](C)(OC(C)=O)[C@H]2C(=O)N(O)[C@@H](C(C)C)C(=O)O[C@H]1C(C)C;2;No;CC(C)[C@H]1[C@@H](C(=O)N2[C@@H](CCCN2)C(=O)N(CC(=O)N2[C@H](CCCN2)C(=O)N2CC[C@@]([C@H]2C(=O)N([C@H](C(=O)O1)C(C)C)O)(C)OC(=O)C)O)NC(=O)[C@H](C)OC(=O)C;0.039276227;1;-10.8;8
88558425;CCCCCC[C@@H](O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H]2O[C@H](CO[C@H]3O[C@@H](O[C@@H]4[C@@H](C)C[C@H](C(=O)NCCc5cn(CCCn6ccc7cc([N+](=O)[O-])ccc76)nn5)C[C@H]4O2)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]1O)C(=O)O;2;No;CCCCCC[C@H](C(=O)O)O[C@H]1[C@H]([C@H]2CO[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)O[C@H]3[C@@H](C[C@H](C[C@@H]3C)C(=O)NCCc3cn(CCCn4ccc5c4ccc(c5)[N+](=O)[O-])nn3)O[C@H]([C@H]1OC(=O)c1ccccc1)O2)O)O)O)O;0.025543455;1;-10.8;20
89457488;CO[C@@H]1[C@@H](O[P@@](=O)(OC[C@H]2O[C@@H](n3cnc4c(N)ccnc43)C[C@H]2O)SCOC(=O)C(C)(C)C)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O;2;No;CC(C)(C)C(=O)OCS[P@](=O)(OC[C@@H]1[C@@H](C[C@@H](O1)n1cnc2c(ccnc12)N)O)O[C@H]1[C@@H](CO)O[C@H]([C@@H]1OC)n1ccc(=O)[nH]c1=O;0.045787875;1;-10.8;14
90311944;N[N+]12C=CN=CC1=C([C@H]1CN(CCO)CCO1)N=C2c1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1;2;No;C1CO[C@H](CN1CCO)C1=C2C=NC=C[N+]2(C(=N1)c1ccc(cc1)C(=O)Nc1cc(ccn1)C(F)(F)F)N;0.043150291;1;-10.8;7
