Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
14332696;O=C(/C=C/c1ccc(O)cc1)OC[C@@H]1O[C@@H](Oc2cc3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O;0;No;c1cc(ccc1/C=C/C(=O)OC[C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)Oc1c(c2cc(c(cc2)O)O)[o+]c2cc(cc(c2c1)O[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O)O)O)O;0.038955525;1;-8.6;12
14682806;OC[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OCc3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O;3;No;c1ccc(cc1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]2[C@@H]([C@H]([C@H](CO)O2)O)O)O1)O)O)O;0.03660902;1;-8.4;7
14986311;CCCc1c(OCCc2cccc(O)c2O)ccc(C(=O)O)c1O;2;No;CCCc1c(ccc(C(=O)O)c1O)OCCc1cccc(c1O)O;0.045256812;1;-8.7;7
15709539;N#C[C@]1(O)CC[C@H]2c3cc(O)ccc3O[C@H]2C1;2;No;C1C[C@](C[C@H]2[C@@H]1c1c(ccc(c1)O)O2)(C#N)O;0.042452928;1;-8.1;0
15725660;Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O[P@](=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O[P@](=O)(O)OC[C@H]3O[C@@H](n4ccc(N)nc4=O)[C@H](O)[C@@H]3O)[C@@H]2O)c(=O)n1;4;No;c1cn(c(=O)nc1N)[C@H]1[C@@H]([C@@H]([C@@H](CO[P@@](=O)(O)O[C@@H]2[C@@H]([C@@H](CO[P@@](=O)(O)O[C@H]3[C@@H]([C@@H](COP(=O)(O)O)O[C@H]3n3ccc(nc3=O)N)O)O[C@H]2n2ccc(nc2=O)N)O)O1)O)O;0.045664948;1;-8;16
16086547;O=C(O[C@H]1[C@H](Oc2ccc(O)cc2COC(=O)[C@]2(O)C=CCCC2=O)O[C@H](CO)[C@@H](O)[C@@H]1O)c1ccccc1;0;No;[C@]1(C(=O)CCC=C1)(C(=O)OCc1c(ccc(c1)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)OC(=O)c1ccccc1)O;0.042388074;1;-9.1;10
16086606;O=C(/C=C/c1ccc(O)cc1)OCc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;0;No;O=C(OCc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)/C=C/c1ccc(O)cc1;0.046119079;1;-9.1;9
16105447;COc1cc(C[C@H]2COC(=O)[C@@H]2Cc2cc(OC)c(O)c([C@@H](CO)[C@@H](O)c3ccc(O)c(OC)c3)c2)ccc1O;2;No;COc1cc(cc(c1O)[C@@H](CO)[C@H](c1cc(c(cc1)O)OC)O)C[C@@H]1[C@H](COC1=O)Cc1cc(c(cc1)O)OC;0.028983003;1;-8.7;11
16131892;Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)(O)O[C@@H]3[C@@H](COP(=O)=O)O[C@@H](n4cnc5c(N)ncnc54)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1;4;No;c1nc2c(c(n1)N)ncn2[C@H]1[C@@H]([C@@H]([C@@H](COP(=O)=O)O1)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c2nc([nH]c3=O)N)O1)O)O)O;0.034976546;1;-8.1;10
16667380;O=c1ccn([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1;4;No;c1cn(c(=O)[nH]c1=O)[C@H]1[C@@H]([C@@H]([C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])O[C@@H]2[C@H]([C@H]([C@H]([C@@H](CO)O2)O)O)O)O1)O)O;0.037690934;1;-9.3;9
