Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
46194659;Cc1cn([C@@H]2O[C@H](CO[P@](=O)(O)NC(=O)[C@@H](N)Cc3cnc[nH]3)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O;4;No;Cc1cn(c(=O)[nH]c1=O)[C@H]1[C@@H]([C@@H]([C@@H](CO[P@@](=O)(NC(=O)[C@H](Cc2cnc[nH]2)N)O)O1)O)O;0.036957838;1;-9.7;8
46207089;CCCCO[C@H]1C[C@@H]2[C@H]([C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O1)[C@@](C)(OC(C)=O)C[C@H]2O;2;No;CCCCO[C@H]1C[C@@H]2[C@H]([C@@H](O1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)[C@@](C[C@H]2O)(C)OC(=O)C;0.043907613;1;-9.7;9
46210739;COc1cc(O)c2c(c1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2=O;3;No;COc1cc(c2c(c1[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O[C@H](c1ccc(c(c1)O)O)[C@H](C2=O)O)O;0.037005108;1;-9.7;4
46210881;O=C(OC[C@@H]1O[C@H](Oc2ccc(O)c(C(=O)O)c2)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1;3;No;c1ccc(cc1)C(=O)OC[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)Oc1cc(c(cc1)O)C(=O)O)O)O)O;0.047663756;1;-11.1;7
46226445;NCCNC(=O)[C@@H]1O[C@H](O[P@@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;4;No;NCCNC(=O)[C@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2ccc(=O)[nH]c2=O)O1)O)O)O)O)O;0.0461099;1;-9.9;11
46226452;O=c1ccn([C@@]23C[C@@H]2[C@H](CO[P@@](=O)(O)O[P@](=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]3O)c(=O)[nH]1;4;No;O=c1ccn([C@@]23C[C@@H]2[C@H](CO[P@@](=O)(O)O[P@](=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]3O)c(=O)[nH]1;0.039177876;1;-10.9;9
46780031;CC(=O)N[C@@H]1[C@@H](O)O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H]1O;2;No;CC(=O)N[C@H]1[C@H]([C@@H]([C@@H](COS(=O)(=O)[O-])O[C@@H]1O)O[C@H]1[C@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O)O;0.018784739;1;-9.6;7
46780032;CC(=O)N[C@@H]1[C@@H](O)O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H]1O;2;No;CC(=O)N[C@H]1[C@H]([C@@H]([C@@H](COS(=O)(=O)O)O[C@@H]1O)O[C@H]1[C@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O)O;0.018784739;1;-9.7;7
46876869;Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]2O[C@@H](O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O;4;No;Nc1ncnc2n(cnc12)[C@H]1[C@@H]([C@@H]([C@@H](CO[P@@](=O)(O)O[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)O)O)O)O)O1)O)O;0.031353638;1;-9.9;11
46896620;CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H]1CC[C@]2(C)[C@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@H]3[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@]12C;2;No;CC(=CCC[C@@](C)([C@@H]1CC[C@@]2([C@H]1[C@@H](C[C@H]1[C@]2([C@H]([C@@H]([C@H]2[C@@]1(CC[C@@H](C2(C)C)O)C)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)C)O)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)C;0.020156246;1;-9.8;11
46912653;CC(=O)O[C@H]1[C@H](Oc2cc(O)c3c(c2)[C@@H](C(C)=O)c2cc(C)cc(O)c2C3=O)O[C@@H](C)[C@H](O)[C@H]1OC(C)=O;3;No;C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc1cc(c2c(c1)[C@H](c1cc(cc(c1C2=O)O)C)C(=O)C)O)OC(=O)C)OC(=O)C)O;0.046637967;1;-9.5;7
