Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot;;;;;;
CHEMBL1255848;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@@H](C)[C@@H]2N(NCCCc3ccnc4ccccc34)C(=O)O[C@@]21C;0;No;CC[C@@H]1[C@@]2([C@H]([C@@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@@H]1[C@H]([C@@H](C[C@H](C)O1)N(C)C)O)(C)OC)C)C)N(C(=O)O2)NCCCc1ccnc2ccccc12)C;0.074500121;1;-14.2;10;;;;;;
CHEMBL1256539;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@H](N(C)C3CCC3)[C@@H]2O)[C@](C)(O)C[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@@H]1[C@H]([C@H](C[C@@H](C)O1)N(C)C1CCC1)O)(C)O)C)O)C)O)(C)O;0.068448752;1;-11.6;8;;;;;;
CHEMBL1256543;CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CCOC)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@H]([C@@H](C(=O)O1)C)O[C@@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)CCOC)O)(C)O)C)O)C)O)(C)O;0.065700606;1;-11.2;10;;;;;;
CHEMBL1256546;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C[C@@H](C)O)[C@@H]2O)[C@](C)(O)C[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@@H]1[C@H]([C@@H](C[C@H](C)O1)N(C)C[C@@H](C)O)O)(C)O)C)O)C)O)(C)O;0.096214041;1;-11.5;9;;;;;;
CHEMBL1256547;CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CC(C)(C)O)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@H]1[C@@]([C@@H]([C@H]([C@@H]([C@@H](C[C@@]([C@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]1C[C@@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)CC(C)(C)O)O)(C)O)C)O)C)O)(C)O;0.116918817;1;-11.8;9;;;;;;
CHEMBL1269437;CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)[C@H](OCCNC(C)=O)[C@H](C)[C@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@H]([C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@@H]([C@H]([C@@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@@H]1[C@H]([C@@H](C[C@H](C)O1)N(C)C(C)C)O)(C)O)C)OCCNC(=O)C)C)O)(C)O;0.077896819;1;-11.2;12;;;;;;
CHEMBL1269438;CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C(C)C)[C@H]2O)[C@](C)(O)C[C@H](C)[C@H](OCCNC(=O)c2ccc3[nH]cnc3c2)[C@@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@H]1[C@@]([C@@H]([C@@H]([C@H]([C@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C(C)C)O)(C)O)C)OCCNC(=O)c1ccc2c(c1)nc[nH]2)C)O)(C)O;0.073608667;1;-11.5;13;;;;;;
CHEMBL1269440;CCOC(=O)NCCO[C@@H]1[C@@H](C)C[C@@](C)(O)[C@@H](O[C@@H]2O[C@@H](C)C[C@@H](N(C)C(C)C)[C@@H]2O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H]1C;0;No;CCOC(=O)NCCO[C@@H]1[C@@H](C)C[C@](C)([C@H]([C@@H](C)[C@@H]([C@@H](C)C(=O)O[C@H](CC)[C@](C)([C@@H]([C@@H]1C)O)O)O[C@H]1C[C@](C)([C@@H]([C@@H](C)O1)O)OC)O[C@H]1[C@H]([C@@H](C[C@H](C)O1)N(C)C(C)C)O)O;0.10371872;1;-11.4;14;;;;;;
CHEMBL1288441;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(OC[C@@H](O)CN2CCN(c3ccc4c(c3)c(=O)c(C(=O)O)cn4C3CC3)CC2)C[C@@H](C)NC(=O)[C@@H](C)[C@@H](O)[C@@]1(C)O;0;No;CC[C@@H]1[C@]([C@@H]([C@@H](C(=O)N[C@@H](C[C@@]([C@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@@H]1[C@H]([C@@H](C[C@H](C)O1)N(C)C)O)(C)OC[C@H](CN1CCN(c2ccc3c(c2)c(=O)c(C(=O)O)cn3C2CC2)CC1)O)C)C)O)(C)O;0.079407856;1;-11.4;12;;;;;;
CHEMBL132989;CC[C@@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@H](N(C)C)[C@@H]2O)[C@](C)(OCCCc2ccccc2)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@@H]1[C@H]([C@H](C[C@H](C)O1)N(C)C)O)(C)OCCCc1ccccc1)C)C)O)(C)O;0.085992515;1;-12.4;9;;;;;;
