Compound,Model ID,Energy,nRot
CHEMBL1159644,1,-11.6,3
CHEMBL359753,1,-11.6,7
CHEMBL1797041,1,-11.6,10
CHEMBL450295,1,-11.6,13
CHEMBL504134,1,-11.6,11
CHEMBL1972687,1,-11.6,5
CHEMBL493855,1,-11.6,8
CHEMBL229899,1,-11.6,17
CHEMBL1093282,1,-11.6,9
CHEMBL547799,1,-11.6,6
CHEMBL467196,1,-11.5,3
CHEMBL467953,1,-11.5,10
CHEMBL1992577,1,-11.5,2
CHEMBL4088244,1,-11.5,5
CHEMBL152397,1,-11.5,5
CHEMBL295549,1,-11.5,15
CHEMBL361045,1,-11.5,12
CHEMBL443442,1,-11.5,10
CHEMBL188731,1,-11.5,6
CHEMBL2316921,1,-11.5,7
CHEMBL3906746,1,-11.5,11
CHEMBL1783809,1,-11.5,3
CHEMBL2152483,1,-11.5,5
CHEMBL33027,1,-11.5,4
CHEMBL550666,1,-11.5,3
CHEMBL1779458,1,-11.5,9
CHEMBL4095825,1,-11.5,10
CHEMBL3955266,1,-11.5,9
CHEMBL251254,1,-11.5,4
CHEMBL3109438,1,-11.5,4
CHEMBL469425,1,-11.5,9
CHEMBL383019,1,-11.5,12
CHEMBL1269762,1,-11.5,12
CHEMBL2375092,1,-11.5,4
CHEMBL3526185,1,-11.5,9
CHEMBL552565,1,-11.5,10
CHEMBL551378,1,-11.5,9
CHEMBL1098724,1,-11.5,4
CHEMBL280909,1,-11.5,8
CHEMBL1571766,1,-11.5,5
CHEMBL520637,1,-11.5,3
CHEMBL3609603,1,-11.5,6
CHEMBL1159655,1,-11.5,10
CHEMBL3337987,1,-11.5,11
CHEMBL239464,1,-11.5,11
CHEMBL570982,1,-11.4,11
CHEMBL370795,1,-11.4,9
CHEMBL1092944,1,-11.4,5
CHEMBL1183076,1,-11.4,10
CHEMBL3409787,1,-11.4,12
CHEMBL3980013,1,-11.4,13
CHEMBL325551,1,-11.4,12
CHEMBL2371782,1,-11.4,7
CHEMBL575891,1,-11.4,8
CHEMBL4083169,1,-11.4,4
CHEMBL3337986,1,-11.4,12
CHEMBL3526455,1,-11.4,11
CHEMBL91412,1,-11.4,7
CHEMBL1627254,1,-11.4,16
CHEMBL2332679,1,-11.4,4
CHEMBL83968,1,-11.4,4
CHEMBL19326,1,-11.4,8
CHEMBL501837,1,-11.4,6
CHEMBL1627259,1,-11.4,16
CHEMBL590315,1,-11.4,15
CHEMBL498793,1,-11.4,9
CHEMBL2332677,1,-11.4,3
CHEMBL2036490,1,-11.4,13
CHEMBL1813013,1,-11.4,8
CHEMBL1199255,1,-11.4,8
CHEMBL2036489,1,-11.4,13
CHEMBL509164,1,-11.4,10
CHEMBL438870,1,-11.4,4
CHEMBL337872,1,-11.4,14
CHEMBL473246,1,-11.4,6
CHEMBL2003326,1,-11.4,7
CHEMBL47465,1,-11.4,13
CHEMBL2332674,1,-11.4,3
CHEMBL1610591,1,-11.4,3
CHEMBL540152,1,-11.4,10
CHEMBL7611,1,-11.4,7
CHEMBL2037042,1,-11.4,7
CHEMBL501915,1,-11.4,5
CHEMBL509744,1,-11.4,12
CHEMBL1928037,1,-11.4,14
CHEMBL262114,1,-11.4,3
CHEMBL1198685,1,-11.4,8
CHEMBL1161427,1,-11.4,15
CHEMBL293808,1,-11.4,11
CHEMBL605778,1,-11.4,7
CHEMBL260997,1,-11.4,5
CHEMBL1159647,1,-11.3,4
CHEMBL3617767,1,-11.3,15
CHEMBL590396,1,-11.3,14
CHEMBL468655,1,-11.3,10
CHEMBL240528,1,-11.3,3
CHEMBL325199,1,-11.3,8
CHEMBL464746,1,-11.3,7
CHEMBL521317,1,-11.3,9
CHEMBL2259983,1,-11.3,4
CHEMBL454757,1,-11.3,13
CHEMBL392101,1,-11.3,4
CHEMBL36327,1,-11.3,4
CHEMBL450121,1,-11.3,13
CHEMBL2235443,1,-11.3,4
CHEMBL1163060,1,-11.3,8
CHEMBL1985000,1,-11.3,7
CHEMBL1199221,1,-11.3,6
CHEMBL1784264,1,-11.3,5
CHEMBL1778419,1,-11.3,9
CHEMBL2413871,1,-11.3,11
CHEMBL3104977,1,-11.3,4
CHEMBL556277,1,-11.3,5
CHEMBL95036,1,-11.3,3
CHEMBL469160,1,-11.3,5
CHEMBL456032,1,-11.3,7
CHEMBL2295879,1,-11.3,3
CHEMBL2095128,1,-11.3,6
CHEMBL1980748,1,-11.3,4
CHEMBL2021381,1,-11.3,6
CHEMBL1271290,1,-11.3,3
CHEMBL91541,1,-11.3,8
CHEMBL229029,1,-11.3,4
CHEMBL1971431,1,-11.3,7
CHEMBL391292,1,-11.3,3
CHEMBL372300,1,-11.3,11
CHEMBL3544608,1,-11.3,7
CHEMBL4110386,1,-11.2,5
CHEMBL1714943,1,-11.2,6
CHEMBL333827,1,-11.2,8
