Compound,Model ID,Energy,nRot
CHEMBL2332392,1,-13.9,7
CHEMBL3542300,1,-13.9,2
CHEMBL1914942,1,-13.9,5
CHEMBL2079753,1,-13.9,8
CHEMBL2376777,1,-13.9,9
CHEMBL447610,1,-13.9,7
CHEMBL3215383,1,-13.9,12
CHEMBL1096582,1,-13.9,15
CHEMBL3246663,1,-13.9,8
CHEMBL3323561,1,-13.9,7
CHEMBL4063329,1,-13.9,13
CHEMBL1992577,1,-13.8,2
CHEMBL3638293,1,-13.8,6
CHEMBL466844,1,-13.8,8
CHEMBL2021356,1,-13.8,5
CHEMBL1631641,1,-13.8,5
CHEMBL3359258,1,-13.8,5
CHEMBL501001,1,-13.8,10
CHEMBL1992923,1,-13.8,3
CHEMBL504840,1,-13.8,5
CHEMBL9199,1,-13.8,5
CHEMBL1159461,1,-13.8,4
CHEMBL1783809,1,-13.8,3
CHEMBL1271290,1,-13.8,3
CHEMBL3774558,1,-13.7,10
CHEMBL1532097,1,-13.7,4
CHEMBL3609126,1,-13.7,9
CHEMBL255034,1,-13.7,5
CHEMBL1229252,1,-13.7,11
CHEMBL1974843,1,-13.7,8
CHEMBL504029,1,-13.7,8
CHEMBL295292,1,-13.7,5
CHEMBL2112840,1,-13.7,5
CHEMBL501915,1,-13.7,5
CHEMBL3577666,1,-13.7,2
CHEMBL454537,1,-13.7,2
CHEMBL556527,1,-13.7,11
CHEMBL478738,1,-13.7,5
CHEMBL3600662,1,-13.7,11
CHEMBL2374662,1,-13.7,5
CHEMBL2057488,1,-13.7,8
CHEMBL1185809,1,-13.7,4
CHEMBL2442991,1,-13.7,12
CHEMBL2087149,1,-13.6,5
CHEMBL424519,1,-13.6,4
CHEMBL1974170,1,-13.6,3
CHEMBL1922174,1,-13.6,6
CHEMBL95036,1,-13.6,3
CHEMBL3215386,1,-13.6,12
CHEMBL2018716,1,-13.6,2
CHEMBL2057487,1,-13.6,8
CHEMBL311573,1,-13.5,0
CHEMBL1357369,1,-13.5,12
CHEMBL1973380,1,-13.5,17
CHEMBL451375,1,-13.5,8
